epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.95,1.97539,4.13766,2.18582,0.06409,0.15306,0.02217,0.00612,2.6232,4.15716,3.07392,0.000665025,0.000665025,0.000665025
2,677.217,2.31058,3.17072,2.50454,0.1179,0.08776,0.03194,0.01151,2.92685,7.85089,3.45403,0.00130972,0.00130972,0.00130972
3,923.397,2.27191,3.24445,2.49857,0.16551,0.10408,0.05662,0.01885,2.53894,3.75456,2.88228,0.00193241,0.00193241,0.00193241
4,1098.72,2.15891,3.03502,2.39384,0.23905,0.14694,0.13043,0.04756,2.33571,3.38221,2.65977,0.001901,0.001901,0.001901
5,1219.98,2.04798,2.87469,2.29925,0.4053,0.23265,0.21702,0.08302,2.1391,2.90516,2.47102,0.001868,0.001868,0.001868
6,119.816,2.00838,2.75989,2.26523,0.30165,0.26939,0.23903,0.09931,2.16437,2.94137,2.43604,0.001835,0.001835,0.001835
7,240.882,1.96616,2.6167,2.17488,0.35814,0.26735,0.22979,0.08748,2.24286,3.62209,2.48545,0.001802,0.001802,0.001802
8,571.382,1.92064,2.55694,2.14589,0.37289,0.24898,0.24019,0.10853,2.05364,2.70686,2.37165,0.001769,0.001769,0.001769
9,776.066,1.85443,2.42986,2.06634,0.45189,0.34829,0.33348,0.1445,2.00366,2.44138,2.26126,0.001736,0.001736,0.001736
10,1120.75,1.82206,2.32761,2.05672,0.44212,0.33265,0.31969,0.14,2.00605,2.39918,2.24447,0.001703,0.001703,0.001703
11,1585.58,1.78655,2.25791,2.01768,0.41316,0.4,0.35072,0.16178,1.91876,2.29609,2.20733,0.00167,0.00167,0.00167
12,1707.61,1.78795,2.24791,2.00282,0.47017,0.3449,0.36413,0.16906,1.96892,2.29292,2.18446,0.001637,0.001637,0.001637
13,1828.17,1.72988,2.15754,1.95145,0.42643,0.39796,0.37494,0.17644,1.88259,2.20037,2.13211,0.001604,0.001604,0.001604
14,1948.94,1.72316,2.10953,1.93992,0.50755,0.42041,0.43384,0.19815,1.85983,2.15789,2.09134,0.001571,0.001571,0.001571
15,2067.34,1.69645,2.02592,1.90444,0.47088,0.43673,0.42173,0.21196,1.85005,2.09765,2.07502,0.001538,0.001538,0.001538
16,2185.82,1.6606,2.01578,1.8906,0.62258,0.43673,0.48065,0.23075,1.86314,2.10012,2.05268,0.001505,0.001505,0.001505
